"","M01.1-V1-stool","M01.1-V2-stool","M01.1-V3-stool","M01.2-V1-stool","M01.2-V2-stool","M01.2-V3-stool","M01.3-V1-stool","M01.3-V2-stool","M01.3-V3-stool","M01.4-V1-stool","M01.4-V2-stool","M01.4-V3-stool","M01.5-V2-stool","M01.5-V3-stool","M02.1-V1-stool","M02.1-V2-stool","M02.1-V3-stool","M02.2-V1-stool","M02.2-V2-stool","M02.2-V3-stool","M02.3-V1-stool","M02.3-V2-stool","M02.3-V3-stool","M02.4-V1-stool","M02.4-V2-stool","M02.4-V3-stool","M02.5-V1-stool","M02.5-V2-stool","M03.1-V2-stool","M03.1-V3-stool","M03.3-V1-stool","M03.3-V2-stool","M03.3-V3-stool","M03.4-V1-stool","M03.4-V2-stool","M03.4-V3-stool","M03.5-V1-stool","M03.5-V2-stool","M04.1-V1-stool","M04.1-V3-stool","M04.2-V1-stool","M04.2-V2-stool","M04.2-V3-stool","M04.3-V1-stool","M04.3-V3-stool","M04.4-V1-stool","M04.4-V3-stool","M04.5-V1-stool","M04.5-V2-stool","M04.5-V3-stool","M04.6-V1-stool","M04.6-V2-stool","M04.6-V3-stool"
"k__Bacteria|p__Firmicutes|c__Bacilli",0.19841,0.38351,0.35028,1.18859,0.24699,0.45116,0.05037,0.28627,0.28086,1.37301,0.12834,3.1434,0.34137,0.39445,0.13929,0.05608,0.11409,0.57128,1.37491,0.93839,0,0.1979,0.0682,0.20226,0.14905,0.25288,0.81924,0.63156,1.07305,3.236,0.26705,0.32962,0.24487,0.51622,0.43661,2.71618,0.28977,0.54682,0.1335,1.14486,0.63559,0.1672,0.05947,0.01759,0.06644,1.53654,0.03206,0.4249,1.00503,0.10265,0.13809,0.39669,0.21881
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria",0.05492,0.05174,0.04603,0.5173,0.43706,0.27214,0.16092,0.1299,0.26737,0.0893,0.09039,0.05147,0.07164,0.06504,0.20329,0.53641,0.39505,0.17296,1.00623,0.72099,1.08692,0.62766,1.17125,1.11626,1.05967,1.20853,0,0,1.78059,1.93913,1.4319,1.07839,0.87327,0.55427,0.39936,0.39365,0,0,0.96658,0.1301,0.0884,0.09879,0.04687,0.03761,0.03949,3.48578,0.01522,0.34395,1.54244,0.01133,0.08443,0.09013,0.20949
"k__Bacteria|p__Lentisphaerae|c__Lentisphaeria",0.04584,0.10953,0.07234,0,0,0,0,0,0,0.12741,0.06145,0,0,0,0,0,0,0,0,0,0.01741,0.02962,0.02791,0.00243,0.20219,0.02385,0,0,0,0,0,0,0,0.0232,0.02317,0.02323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales",47.21262,41.287,41.32306,53.09178,61.54586,64.76229,45.6209,55.23172,33.36369,38.65892,49.80114,22.01221,40.67664,30.88223,46.81609,38.50372,52.98774,78.56047,68.86524,68.90193,28.14401,23.71396,21.29813,49.1973,33.55097,30.59696,57.94197,57.50647,42.55518,41.14386,31.19174,27.6705,25.40951,46.26873,39.43167,53.52748,33.27579,34.09732,8.42278,30.88074,31.29823,21.22729,18.0099,31.65803,19.16525,28.55305,18.19724,20.60753,32.19142,16.55004,11.8253,21.98278,57.53476
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales",37.79552,46.16071,40.07862,37.81485,32.41927,31.08654,49.04297,39.2809,61.50404,50.81379,31.42296,71.67384,50.68096,62.32767,35.8236,57.53018,34.83053,18.20122,26.19681,25.24959,65.16145,70.66368,73.03227,40.04579,38.68615,53.70176,37.84319,37.59922,48.1887,43.21971,38.30119,49.39915,39.09433,45.94729,51.91678,28.40001,63.95411,60.08202,76.39223,56.24514,61.32674,58.51968,79.09246,55.97989,76.59458,59.82274,77.20023,58.1027,38.76758,79.13148,74.2351,74.32193,33.76476
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales",4.55566,7.21873,6.8999,0.02673,0.02324,0.00118,0,0,0,0,0.00606,0.0098,0.00945,0.0163,0,0,0,0.77693,0.83076,1.15125,0.81713,0.4102,0.25732,0,0,0,0,0,0,0,1.08205,0.7873,0.68068,1.36988,1.72657,1.54182,0,0,3.39762,0.37927,0,0,0,0,0,0,0,1.86454,2.31265,0,9.01056,1.99977,2.47224
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales",2.5614,0.51344,2.45457,1.49406,0.72716,0.63892,2.21764,1.83125,1.08472,0.65729,0.74472,0.32314,1.15343,0.80253,0.79223,0.40433,0.37488,0.72573,0.1987,0.25454,0.00203,0,0,0.71519,0.36386,0.53267,0,0,0.18115,0.369,6.2555,3.38668,4.97728,1.1025,1.12612,2.83713,0.20266,0.14859,3.9807,3.48127,3.88486,11.67189,0.98212,4.63338,1.34755,1.23312,1.11513,2.57726,4.95614,0.98429,1.06988,0.42817,2.16366
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales",2.34775,0.61072,1.87462,0.30635,0.00104,0.02348,0.01028,0,0,1.00031,0.52516,0.00392,0.00148,0.61401,13.67037,1.34457,8.67378,0.00545,0.03374,1.57726,0.24148,0.04224,0.07866,0.05751,13.09509,0.35435,0.13001,0.08216,0,0.08159,0.26843,0.20607,0.10592,0.10155,0.19991,0.07012,0,0.15355,0.82718,0.22041,0.06503,0.50662,0.20496,0.01818,0.00104,0.00147,0,6.71522,0,0,0.2311,0.12572,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales",1.82528,0.44247,1.2886,1.24529,0.28578,0.57279,0.49395,0.48662,0.7872,0.4323,4.03218,0.01091,2.07703,1.6871,0.66712,0.12919,1.35224,0.00306,0,0.17155,0,0,0,0.07729,0.03976,1.92653,1.32744,0.73479,3.96834,4.41874,9.79325,14.11818,24.50401,2.59783,2.20663,8.4127,0.81624,2.35119,4.45822,5.275,0.08603,4.28264,0.69232,0.44425,0.38153,3.66354,0.21079,6.54126,12.00059,0.23004,0.09625,0.11099,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales",1.06875,0.34309,0.93084,0.34972,0.05719,0.1124,0.01552,0.54365,0.01683,0.24953,0.08697,0.11911,0.04733,0.18419,0.48785,0.17036,0.14093,0.17811,0.20516,0.25607,0.04539,0.09699,0.07523,1.90141,1.88158,1.5127,0.76183,0.40469,0.24197,0.5269,0.66152,0.47603,0.50927,0,0.05997,0.02407,0.46543,0.16157,1.02987,1.30995,1.4572,1.28357,0.60361,0.73555,0.2964,0.72537,0.34644,1.62791,5.25924,0.38477,2.13067,0.37772,0.9641
