"","P10E0","P10E7","P10E90","P11E0","P11E7","P11E90","P12E0","P12E7","P12E90","P13E0","P13E7","P13E90","P14E0","P14E7","P14E90","P15E0","P15E7","P15E90","P17E0","P17E7","P17E90","P18E0","P18E7","P18E90","P19E0","P19E7","P19E90","P1E0","P1E7","P1E90","P20E0","P20E7","P20E90","P21E0","P21E7","P21E90","P22E0","P22E7","P22E90","P23C0","P23C7","P23C90","P25C0","P25C7","P25C90","P2E0","P2E7","P2E90","P38C0","P38C7","P38C90","P3E0","P3E7","P3E90","P4E0","P4E7","P4E90","P5E0","P5E7","P5E90","P6C0","P6C7","P6C90","P7C0","P7C7","P7C90","P8C0","P8C7","P8C90","P9E0","P9E7","P9E90"
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella",0.61829,0,0.23833,0.42606,0,0.47523,0.2249,0,0,0,0,0,0.7799,0.27668,0.82076,2e-04,0,0.14945,0.60716,0,0.20222,1.14638,0,0.25522,0.54117,0.0112,0.30149,0.0049,0.0755,0.28318,0.48329,0,0.31297,0.98842,0.00038,2.24004,0.05817,0,0.14055,1.03599,1.73083,1.18519,0,0,0,0.33165,0.32937,0.0308,0.10541,0.14445,0.05347,0.41696,0.018,0.1354,0,0,0,1.15809,0.18625,0.34802,0.96655,2.29041,0.6237,0.28976,0.23187,0.23962,0,0,0,0.15025,0,0.13812
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium",0.53379,0.44339,7.81938,0.15119,0,0.36385,4.90082,0,14.34465,0.40293,0.3398,0.56563,0.33367,0.10571,1.26443,3.18918,0.14466,0.80902,0.30297,0.39674,2.80513,0.17776,0.00713,0.14591,2.34365,1.03067,1.02598,0.04653,0.11153,0.78423,0.05963,0,0.35018,0.1438,0.06696,0.17038,1.49095,0,1.75265,28.28287,35.02471,20.17141,1.65791,1.63474,2.73382,0.80124,0.67927,9.02049,1.67701,1.01956,7.13355,1.78397,0.72049,0.40944,0.0784,0,0.0042,0.13225,0.0088,0.03125,1.35182,0.63557,0.79207,2.08487,1.1251,0.99752,0.0243,0.05051,0.01233,0.00371,0,3.19968
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus",0.5127,0.13895,0.08938,0.05226,0,0.24356,0.07796,0,0.32706,0.085,0.00971,0.0532,0.63846,0.47455,0.55867,1.35592,0.01304,0.09329,0.01463,0.00398,0.03433,0.16791,0.00432,0.06104,0.22136,0.04863,0.11172,0.00564,0.01569,0.56212,0.11186,0,0.04135,0.14752,0.03532,0.02194,0.08945,0,0.07313,0.00186,0.01622,0.00049,5.99457,4.80309,2.16141,0.12417,0.07423,0.21074,0.02994,0.03937,0.04286,0.06568,0.05528,0.41065,0.7208,0,0.03882,0.03519,0.0216,0.01175,0.05387,0.1149,0.08234,0.37889,0.32576,2.19734,0,0,0,0.01324,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia",0.45056,0.02074,0.10726,0.06301,0.18026,0.12013,0.38791,0.26088,0.21646,0.169,0.00863,0.07914,0.13512,0.02166,0.16813,0.30015,0.0025,0.12766,0.17515,0.08756,0.07324,0.25078,0.06761,0.13793,0.58311,0.01775,0.06326,0.0043,0.00841,0.2311,0.33109,0.45238,0.13672,0.54423,0.2009,0.44001,0.17565,0.03592,0.21875,0.2878,0.68835,0.32514,0.06421,0.22156,0.09341,0.08797,0.04978,0.15484,0.32524,0.54324,0.09327,0.05245,0.20191,0.0049,0.27193,0.01339,0.44482,0.2087,0.5892,0.53524,0.0709,0.32606,0.13993,0.01959,0.01647,0.04846,0.29119,1.9269,0.61639,0.06974,0.41534,0.59768
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas",0.30455,0.04151,0.16238,0.14314,0.09361,0.01126,0,0,0,0.05519,0.03245,0.15524,0.17232,0.21875,0.35539,0.01493,0.02439,0.08382,0.53103,0.09243,0.40121,0,0,0,0.18101,0.19551,0.16094,0.05251,0.10143,0.11071,0,0,0,0.03357,0.05705,0.05026,0.10195,0.02515,0.04468,0,0,0,0,0,0,0.1226,0.08236,0.03728,0.19047,0.25765,0.13653,0,0,0,0,0,0,0,0,0,0.02751,0.04657,0.09281,0.0833,0.09145,0.21205,0,0,0,0.27124,0.06504,0.30482
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium",0.28589,0.04166,0.38668,0.29221,3.76421,0.08775,0.17769,0.01457,1.4943,0.0206,0,0,0.02487,0.12501,0.02226,0.01945,0.05697,0.25397,0.01883,0,0.03139,0.03952,0.1676,0.06125,4.39343,9.61937,3.61718,56.77464,56.0464,30.83624,0.12817,0.01148,0.02296,0.28324,0.11467,0.01348,0.18107,0.00334,0.10633,0.05361,0.08418,0.04621,0.03085,0.00933,0.02557,0,0,0,0.61832,1.29505,0.17714,0,0,0,0.00265,0,0.0608,0.05064,0.09303,0.00908,0.07592,0.06363,0.05731,0.35226,1.11331,0.26075,0.32542,0.17918,0.04029,0.09989,0.12727,0.26427
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira",0.26208,0.12363,1.83436,0.71615,0,0,3.54048,0,4.76649,1.46107,0.33394,0.02659,1.27345,0.09882,1.17153,0,0,0,0.10088,0,1.42697,0.26741,0.08405,0.71058,1.02348,0,0.40147,0,0,0,0.56791,0,0.02007,0.4206,0.0525,0.00393,0,0,0,0,0.00935,0.08063,6.17939,10.74968,2.60223,0,0,0,1.00783,0.01902,0.24984,1.07323,0,0,1.62585,0,0.47449,0.95052,0.1545,0.69047,2.42155,0.61812,1.52784,0,0,0,1.51354,0.73493,1.13352,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified",0.2277,6.13116,1.04851,0.00153,1.41609,0.02197,1.71408,0.04199,0.06592,0.6433,0.18739,0.9487,0.26823,1.11958,1.05797,0.02491,0.00885,0.1616,0.06541,1.23009,0.03653,0.27686,0.12979,0.22472,0.13455,0.12431,0.03761,0.72464,0.64288,0.21282,0.07424,0.01151,0.22651,2.53443,5.00276,0.61445,0.00733,0.04465,0.2576,0.24656,0.38245,0.09929,0.02022,0.01261,0.06569,0,0,0,0.02651,0.06167,0.01724,0.11014,1.26423,2.23272,0,0,0,0.02731,0.06601,0.00354,2.50402,1.60605,1.12008,0.11425,0.14097,0.16763,0.00297,0.22797,0.08134,0.41965,0.68622,0.72403
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor",0.21461,0.98909,0.10038,0.18144,6.13559,0.18556,0.90695,2.36687,0.34406,0.04229,0.1617,0.0511,0.07507,0.93511,0.00557,0.07061,0.6311,0.13319,0.0602,0.28191,0.11065,0.62515,2.30185,0.40784,0.08699,0.7033,0.02234,0.05944,0.03486,0.01084,3.31473,2.52017,1.16857,0.20601,0.61158,0.07653,0.27026,0.78052,0.18309,0.34526,0.35271,0.38042,0.05574,0.0561,0.05145,0.15914,0.25576,0.02277,0.1157,0.20363,0.16395,0.02539,1.54918,0.02766,0.05188,0.30655,0.8814,1.07935,6.80739,0.04818,0.34541,0.13285,0.15024,0,0.0022,0.02331,0.48555,1.9873,0.82863,0.30203,3.0562,0.53792
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Intestinimonas",0.17801,0.91236,0.1504,0.02391,0.01083,0.0501,1.09083,0,0.20223,0.12174,0.04737,0.01793,0.00303,0.03312,0,0.00231,0.04876,0.02605,0.12015,0.00237,0.09631,0.03697,0,0,0.20872,1.84016,0.05703,0.25084,0.15973,0.0149,0.05294,0,1.61143,0.3428,0.80986,3.7828,0.16052,1.27556,0.14342,0.9637,2.14632,0.27881,0.02281,0.01849,0.00967,0.06099,0.04971,0.23928,0.05823,0.05315,0.01049,0.13052,3.10513,0.09024,0,0,0,0,0,0,0.13881,0.34005,0.03124,0.01518,0.04883,0.02623,0,0,0,0.08179,0.06795,0.42355
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dielma",0.16732,0,0.01056,0.01421,0.00164,6e-05,0.01788,0.00034,0.04244,0,0,0.00302,0.00603,0.00019,0.00025,0,0,0.01479,0,0,0,0.07704,0.01187,0.00491,0.00839,0.00316,0,0,0,0,0,0,0.01266,0.04156,0.02478,0.05619,0.00748,0.00093,0.00445,0.00896,0.01584,0.11623,0.0017,0.00432,0.00926,0.01875,0.01006,0.01963,0.00555,0.0086,0.00377,0,0,0,0,0,0,0.01371,0,0,2e-04,0.03337,0.00531,0,0,0,0.01363,0.03379,0.00825,0,0,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalicoccus",0.15692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium",0.15646,1.71514,0.05763,0.04311,3.94206,0.08327,0.52806,8.06181,0.57976,0.00635,0.11886,0,0,0.36337,0.00152,0.00458,1.1521,0.02468,0.05266,1.97219,0.03018,0.11806,2.33418,0.03461,0.06344,1.99419,0.00197,0.16452,0.1474,0,0.20086,9.13404,0.52112,0.27449,5.44501,0.21211,0.10079,2.01404,0.09142,0.08184,0.12694,0.03488,0.00088,0.00065,0.00316,0.15161,0.32994,0.01368,0.02004,0.02439,0.01002,0,0.25437,0.00251,0.00614,0.28941,0.07356,0.04433,0.22346,0.03509,0.04632,0.06216,0.03628,0.00688,0.00242,0.00274,0.03151,0.0638,0.0441,0.05817,1.21112,0.54371
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea",0.1328,0,0.04251,0.05645,0,0.05027,0.06691,0,0.06087,0.62245,0.01773,0.1045,0.39388,0.25719,0.61713,0.11329,0,0.05922,0.08005,0,0.07831,0.15049,0.00349,0.06857,0.36465,0.02262,0.10282,0,0,0.07227,0.04958,0,0,0.1158,0.0089,0.08668,0.04996,0,0.08899,0.11998,0.09216,0.08108,0.07415,0.12101,0.04165,0.0628,0.02616,0.21855,0.10217,0.13471,0.07005,0.12474,0.02151,0.39062,0.09115,0,0.08556,0.35442,0.07383,0.13676,0.28328,0.8946,0.36278,0.13786,0.07688,0.13136,0.12106,0.46768,0.21287,0.09337,0.0053,0.1162
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum",0.11929,0,0,0.01306,0.00598,0.02909,0.15262,0,0,0.05144,0.00178,0.02976,0.05943,0.0073,0.11511,0.0667,0,0.08936,0.03358,0.06128,0.02669,0.00862,0,0.00428,0.00097,0,0.00577,0,0.01235,0,0.09115,0,0.06024,0,0,0,0.05356,0,0.05642,0.01179,0.00185,0.01335,0.20659,0.3671,0.07275,0.17803,0.11063,0.11007,0.04078,0.05378,1.19274,0.15249,0,0,0.08101,0,0.02546,0.10544,0.08306,0.03566,0.46363,1.74169,0.18185,0.11307,0.06244,0.2048,0.105,0.12337,0.09347,0.12497,0.01672,0.13018
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter",0.09668,0,0.09953,0.05084,0,0,0,0,0,0.12979,0,0.17045,0.03004,0,0.13371,0.76795,0,0.19584,0.12173,0,0.09987,0.33103,0,0.35284,0.1272,0,0.09934,0,0.00355,0.13977,0.0196,0,0.09485,0,0,0,0.13012,0,0.02773,0.29439,0.59912,0.05192,0.41601,0.3,0.15823,0.05882,0.03245,0.05572,0.06664,0.05861,0.02601,0.09751,0,0.01605,0.01867,0.00556,0.02206,0.17577,0,0.00149,0.07462,0.06202,0.24857,0.18022,0.18822,0.16049,0,0.01179,0.04753,0.1959,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella",0.09047,0,0.0232,0,0,0.00135,0.00525,0,0.01441,0.05002,0,0.0239,0,0,0,0.25195,0,0.00743,0.00644,0,4e-04,0.03531,0,0.15234,0,0,0.00234,0,0,0.01522,1.07424,0,0.04955,0,0,0,0.00776,0,0.02049,0.00225,0.00142,0.00157,0.08078,1.38567,0.11664,0.03097,0.01678,0.12643,0.00124,0,0.02782,0.12199,0,0.05723,0.11726,0,0.89813,0.00328,0,0.70113,0.01111,0.01064,0.03937,0.01377,0.14027,0.48605,0,0.00059,0.01422,0.18511,0,0.00209
"k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified|f__Proteobacteria_unclassified|g__Proteobacteria_unclassified",0.08006,0.02892,0.0192,0.01295,0.03143,0.00075,0,0,0,0.08704,0.04035,0.15352,0.00244,0.02428,0.00278,4.00102,2.83666,0.12655,0.00416,0.12986,0.00796,3.83644,1.16547,2.9423,0.0017,0.01627,0.00078,0.01861,0.01902,0.04296,0.0324,0.0661,0.0894,0.03208,0.07748,0.01753,1.35597,0.64574,1.35384,0.00829,0.00239,0.0084,0,0,0,0.011,0.00673,0.00664,0.07502,0.03691,0.04591,0,0,0,0,0,0,0,0,0,1.22944,0.82159,2.31247,0.00671,0.01603,0.01137,1.18593,0.87603,0.7999,0.00638,0.06389,0.004
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Asaccharobacter",0.07794,0.02232,0.06332,0.01312,0.00458,0.05006,0.01864,0,0.0099,0.01152,0.01629,0.02807,0,0.0113,0,0.01798,0,0.02267,0,0,0,0.01879,0.00803,0.00749,0.01136,0.00844,0.00276,0.07971,0.04815,0.03925,0.00692,0.00173,0.00724,0.0206,0.00671,0.0333,0.02283,0.01732,0.01079,0.00446,0.00557,0.00201,0.02772,0.01442,0.006,0.18524,0.14158,0.00603,0.02004,0.0712,0.1056,0.16089,0.78687,0.08243,0,0,0,0,0,0,0.24847,0.31841,0.0631,0.11658,0.14084,0.17512,0.02876,0.03304,0.03136,0.00529,0.00314,0.01197
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania",0.06943,0.00709,0.02112,0.04197,0,0.05417,0.2874,0,0.5141,0.00428,0.00557,0.00367,0.02184,0.01595,0.02761,0,0,0,0,0,0,0.1958,0.06059,0.11987,0.07162,0.07618,0.03701,0,0,0.00575,0.07638,0,0.02676,0.32353,0.02971,0.0687,0,0,0,0.27774,0.38935,0.18313,0.0464,0.02935,0.05413,0,0,0,0.0684,0.07192,0.03767,0.01197,0.02092,0.02027,0,0,0,0,0,0,0,0,0,0.01561,0.01229,0.01714,0,8e-05,0,0.00992,0.00767,0.02504
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila",0.06006,0.07086,0.01637,0.30362,0.44812,0.15734,0,0,0,0.05958,0.05624,0.07614,1.21801,1.45587,1.25301,0.05364,0.02394,0.0358,0.12792,0.1324,0.05601,0.23015,0.20055,0.16538,0.05946,0.13927,0.00482,0.09266,0.07033,0.1244,0.1804,0.30819,0.08123,0.15815,0.11794,0.31293,0.08649,0.06244,0.08701,0.0057,0.0166,0.01646,0.00367,0.0032,0.00389,0.18338,0.15513,0.11778,0.01897,0.03533,0.00854,0,0,0,0.00678,0.00509,0,0.08426,0.0957,0.06043,0.39466,0.45345,0.36638,0.04002,0.13967,0.02238,0,0,0,0.00755,0.22807,0.0436
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Lawsonibacter",0.05969,0.03466,0.14046,0.08766,0.11148,0.07075,0.65855,0,0.2868,0.0733,0.07473,0.03034,0.11998,0.17819,0.1071,0.06992,0.01716,0.11503,0.0505,0.13159,0.10327,0.10677,0.12691,0.12814,0.03459,0.07479,0.00858,1.60549,1.11674,0.34677,0.00094,0,0,0.13269,0.04707,0.12925,0.19676,0.01601,0.26354,0.11256,0.06628,0.02254,0.01156,0.01575,0.00434,0.01213,0.0088,0.058,0.14654,0.25857,0.0605,0.0683,0.17813,0.09058,0.0067,0,0,0.164,0.00233,0,0.38673,0.22076,0.13698,0.04833,0.03968,0.01865,0.01458,0.02311,0.02405,0.01155,0.00973,0.39877
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter",0.05927,0.03777,0.13469,0,0,0,0,0,0,0.68811,0.48783,0.06865,0.09989,0.05935,0.05527,0,0,0.00737,0,0,0,0,0,0,1.87666,0.60073,0.01801,0.00804,0.02218,0.21789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08336,0.19838,0.0397,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerotignum",0.05822,0,0,0,0,0,0.55936,0.30454,0.19057,0,0,0,0,0,0,0,0,0,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159,0.0401,0,0,0.00132,0,0,0,0,0,0,0.00248,0.00354,0.00123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02334,0.05604,0.00741,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus",0.05719,0.00341,0.03923,0.0178,0.00045,0.0223,0.00395,0,0.00335,0.11221,0.00566,0.02274,0.00012,0,0.11925,0.2142,0,0.36125,0.02512,0,0.01682,0.03687,0.09392,0.01704,0.12695,0.23835,0.07534,0,0,0,0.03978,0.07835,0.20489,0.01219,0,0.04566,0.00042,0.00155,0.31886,0.09243,0.24568,0.09187,0.26478,0.38535,0.22401,0.05127,0.02223,0.07006,0.01914,0.04057,0.07202,0.05161,0.06333,0.01416,0.02825,0.03954,0.00369,0.15821,0.0439,0.10045,0.04295,0.23644,0.06268,0.00119,0.00298,0.01735,0,0.0259,0,0.0988,0.11596,0.05684
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Harryflintia",0.0507,0.05512,0.0154,0,0,0.02152,0.03715,0,0.00222,0.025,0.01843,0.00282,0.00425,0.00509,0.0024,0.00092,0,0.02076,0,0,0.00161,0,0,0,0.02551,0.18319,0.00746,0,0,0,0,0,0,0.03727,0.49076,0.04756,0.03295,0.01723,0.03023,0.03288,0.08477,0.01065,0,0,0.01379,0.00975,0.01091,0.04925,0.01014,0.02959,0,0,0,0.00372,0,0,0,0,0,0,0.03322,0.07407,0.00979,0.00278,0.04206,0.01199,0,0,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio",0.04759,0.26043,0.07277,0,0,0,0,0,0,0.40369,0.45341,0.12451,0,0,0,0,0,0,0,0,0,0,0,0,1.42554,1.49132,0.59226,1.17911,0.71799,0.99157,0,0,0,0,0,0,0,0,0,1.01914,1.0909,0.73745,0,0,0,0,0,0,0.57136,0.66203,0.30787,0,0,0,0,0,0,0,0,0,0,0,0,0.66934,1.41749,1.09756,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces",0.04052,0,0,0,0,0,0,0,0.00385,0,0,0,0,0,0,0.00021,0,0,0.00048,0,6e-04,0.00272,0,0.00031,0.00053,0,0.00134,0,0,0,0.00063,0,0,0.00026,0,0.00103,0,0,0,0.01314,0.02459,0.01562,0.00042,0.0024,5e-04,0,0,0,0.00632,0.01915,0,0,0,0,0.00884,0,0.00384,0.01293,0,0,0.00525,0.01905,0.00011,0.00739,0.00368,0.00199,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia",0.03916,0.00854,0.02183,0.01282,0.00071,0.05123,0.01605,0,0.0075,0.00615,0.00826,0.01658,0,0.01208,0,0.0087,0,0.01357,0,0,0,0.02201,0.00859,0.00822,0.00821,0.00773,0.00213,0.06468,0.05117,0.04437,0.00851,0.00137,0.00872,0.00965,0.00284,0.0167,0.01051,0.00627,0.00584,0.00313,0.00295,0.00123,0.02651,0.01114,0.00692,0.26708,0.20854,0.00249,0.01605,0.06453,0.08993,0.05807,0.30684,0.03178,0,0,0,0,0,0,0.18006,0.24665,0.0492,0.10483,0.12615,0.15988,0.02852,0.02459,0.02804,0.00242,0.00112,0.00722
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella",0.0284,0.03079,0.00551,0.0077,0.02506,0.02267,0.03017,0.00177,0.04754,0,9e-04,0,0,0,0,0.00188,0,0.00917,0.02921,0.04512,0.01847,0.00756,0.00538,0.00254,0,0,0,0.00227,0.00103,0,0,0,0,0.04785,0.02632,0.56429,0.01586,0,0.0012,0,0.01197,0.0013,0.02506,0.01284,0.0025,0,0,0.00366,0,0,0.00036,0.00967,0.08324,0.00108,0.02931,0.00039,0.04367,0.06112,0.07654,0.00699,0.0123,0.04418,0.00521,0,0,0,0.09865,0.13026,0.0833,0,0.00691,0.00034
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus",0.02824,0.00863,0.06319,0,0,0.00768,0.42386,0,0.15177,0.00459,0,0,0,0,0,0,0,0.01711,0.03578,0.00972,0.01887,0.22099,0.01162,0.05069,0.00061,0,0,0,0,0,0.00074,0,0.45014,0.12386,0.0302,0.014,0.01069,0,0.02556,0.05946,0.03417,0.02595,0.00046,0,9e-04,0.0055,0.00283,0.00313,0.00487,0.03469,0,4.54851,0.00174,1e-04,0,0,0,0,0,0,0.05979,0.06101,0.04389,0,0,0.00658,0.0771,0.03763,0.01301,0.00759,0,0.04414
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes",0.02433,0,0.07096,0.00318,0,0.04341,0.05934,0,0.24581,0.03552,0.00435,0.0531,0,0,0.01352,0.01748,0,0.10159,0.01833,0,0.01545,0.04926,0.00018,0.03553,0.02224,0,0.00194,0,0,0.03288,0.21145,0,0.09978,0.00282,0.01139,0.01653,0.01208,0,0.04704,0.0792,0.1293,0.04055,0.16732,0.42752,0.0967,0.07847,0.03549,0.09446,0.05437,0.06256,0.07565,0.10202,0.0096,0.01872,0.00903,0,0.0279,0.09652,0,0.00322,0.05956,0.18282,0.08166,0.00472,0.00281,0.03369,0.10264,0.11109,0.01832,0.12924,0,0.07951
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella",0.02126,0,0.0128,0,0,0,0,0,0,0,0,0,0.00178,0.00313,0.0066,0,0,0,0,0,0,0,0,0,0,0,0,0.00211,0.00288,0.00254,0,0,0,0,0,0.00024,0,0,0,0.00018,0,9e-05,0,0,0,0,0,0,0,0,0,0,0.00033,0,0,0,0,0,0,6e-05,0,0.00018,6e-05,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Pseudoflavonifractor",0.02073,0.07642,0.0045,0,6e-04,0.00316,0.00085,0,0,0.00336,0.00929,0.00625,0,0.00174,0.00083,0,0,0,0.0013,0,0.01578,0,0,0,0,0,0.00035,0.00993,0.00611,0.00083,0,0,0,0.11929,0.09471,0.15072,0.00078,0,0.00116,0.00907,0.00681,0.00651,0,0.00051,0.00023,0.00175,0,8e-04,0.01195,0.0238,0.00357,0,0,0,0,0,0,0,0,0,0.02164,0.0216,0.03106,0,0,0,0,0,0,0.00806,0,0.02597
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger",0.0203,0.0057,0.02248,0.12255,0.00288,0.28479,0,0,0,0.01051,0.00545,0.04948,0.05967,0.02045,0.05298,0.26017,0.02548,0.23232,0.05825,0.02015,0.06245,0.44668,0.01499,0.18157,0.07813,0.03141,0.02238,0.00294,0.00624,0.14186,0.00229,0,0,0,0,0,0.06654,0.00326,0.08139,0.00916,0.03118,0.00176,0.04484,0.04586,0.02754,0.16883,0.1513,0.12734,0.01775,0.04414,0.12909,0.14445,0.0136,0.13891,0.0891,0,0,0.23596,0,0,0,0,0,0.01829,0.02089,0.02371,0,0,0,0.0348,0.0181,0.07064
"k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified",0.02008,0.00626,0.01635,0.28713,0.12083,0.58719,0.96829,0,0.20411,0.29688,0.20637,0.03162,0.54152,0.8391,1.37177,0.57454,0,0.52294,0.22221,0.51344,0.31988,1.29933,0.01991,0.28843,2.24911,3.12824,0.69297,0.93069,0.54232,0.27322,0.00372,0,0,0.26174,1e-04,0.75753,0.17056,0.00133,0.12583,3.64399,5.00974,0.75975,0.19077,0.12573,0.13266,0.27665,0.32966,0.034,0.12419,0.39481,0.41816,0.59091,0.2258,0.23861,7e-05,0,0.05175,0,0,0,0.28352,0.82163,0.21563,0.23121,0.69916,0.40207,0.01119,0.0533,0.01277,0.593,0.00861,0.33007
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella",0.01123,0.07136,0.0041,0,0,0.1595,0.71998,0.11056,0.48983,0.02072,0.00256,0.00143,0,0.00186,0,0,0.01336,0.01405,0.00344,0.00107,0.005,0.02505,0.03332,0.00802,0.00564,0.03581,0,0,0.00278,0.00783,0,0,0,0.10184,0.21042,0.1306,0.00378,0.01415,0.00761,0.01082,0.30705,0.0033,0,0,0,0.00732,0.01409,0.00834,0.00328,0.0065,0.00212,0,0.05273,0,0,0,0.01627,0.05071,0,0,0.00338,0.02015,0.00353,0.0011,0,0,0.03085,0.03684,0.01117,0,0.03154,0.00766
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus",0.00932,0,0.01293,0.00952,0,0,0,0,0,0.00174,0,0.00221,0,0,0.00286,0.40422,0,9e-04,0.00647,0,0.01169,0,0,0.04073,0.00305,0,0.00154,0,0,0.00673,0,0,0,0,0,0,0.00177,0,0.04001,0,0,0,0.36056,0.33336,0.15022,0.04005,0.01944,0.1157,0,0,0.03317,0.01367,0.02599,0.00881,0.03124,0,0,0,0,0.00126,0,0,0.00173,0.00387,0.02496,0.00078,0,0.00081,0,0.0844,0,0.00246
