"","P10E0","P10E7","P10E90","P11E0","P11E7","P11E90","P12E0","P12E7","P12E90","P13E0","P13E7","P13E90","P14E0","P14E7","P14E90","P15E0","P15E7","P15E90","P17E0","P17E7","P17E90","P18E0","P18E7","P18E90","P19E0","P19E7","P19E90","P1E0","P1E7","P1E90","P20E0","P20E7","P20E90","P21E0","P21E7","P21E90","P22E0","P22E7","P22E90","P23C0","P23C7","P23C90","P25C0","P25C7","P25C90","P2E0","P2E7","P2E90","P38C0","P38C7","P38C90","P3E0","P3E7","P3E90","P4E0","P4E7","P4E90","P5E0","P5E7","P5E90","P6C0","P6C7","P6C90","P7C0","P7C7","P7C90","P8C0","P8C7","P8C90","P9E0","P9E7","P9E90"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales",0,0,0,2.49786,0.00287,8.96807,0,0,0,0,0,0,0.07497,0,0.01754,0,0,0.00968,0.24584,0.28146,0.00243,0,0,0,1.82798,0.97249,0.55212,0.4238,0.80367,2.84713,0,0,0,0,0,0,0,0,0,0.33714,0.92968,0.97329,0.61231,1.81912,0.18819,0.1391,0.12023,0.2795,0.14407,0.24006,0.2178,0.44389,0.93648,0.4012,0,0,0,0,0,0,0.39423,0.37462,0.3107,0.98755,0.8179,0.73394,0,0,0,0.536,0.10148,1.27019
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales",0,0,0,0.01268,0,0.02285,0,0,0,0,0,0,0.01849,0.00835,0.00954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae",0,0,0,2.49786,0.00287,8.96807,0,0,0,0,0,0,0.07497,0,0.01754,0,0,0.00968,0.24584,0.28146,0.00243,0,0,0,1.82798,0.97249,0.55212,0.4238,0.80367,2.84713,0,0,0,0,0,0,0,0,0,0.33714,0.92968,0.97329,0.61231,1.81912,0.18819,0.1391,0.12023,0.2795,0.14407,0.24006,0.2178,0.44389,0.93648,0.4012,0,0,0,0,0,0,0.39423,0.37462,0.3107,0.98755,0.8179,0.73394,0,0,0,0.536,0.10148,1.27019
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae",0,0,0,0.01268,0,0.02285,0,0,0,0,0,0,0.01849,0.00835,0.00954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus",0,0,0,2.31706,0,8.2756,0,0,0,0,0,0,0,0,0,0,0,0.00968,0,0,0,0,0,0,0,0,0,0,0.06082,0.35247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium",0,0,0,0.1808,0.00287,0.69247,0,0,0,0,0,0,0.07497,0,0.01754,0,0,0,0.24584,0.28146,0.00243,0,0,0,1.82798,0.97249,0.55212,0.4238,0.74285,2.49466,0,0,0,0,0,0,0,0,0,0.33714,0.92968,0.97329,0.61231,1.81912,0.18819,0.1391,0.12023,0.2795,0.14407,0.24006,0.2178,0.44389,0.93648,0.4012,0,0,0,0,0,0,0.39423,0.37462,0.3107,0.98755,0.8179,0.73394,0,0,0,0.536,0.10148,1.27019
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera",0,0,0,0.12815,0,0,0,0,0,0,0,0,0.04477,0.0145,0.03321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26181,0.10473,0.17321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas",0,0,0,0.01268,0,0.02285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella",0,0,0,8e-04,0,0,0,0,0,0,0,0,0.00383,0,0.00358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis",0,0,0,3.80226,0.12611,1.82457,0,0,0,0,0,0,0.52826,0.23302,0.34531,1.93733,2.65906,1.55253,0,0,0,0,0,0,0.36442,0.19362,0.27078,0.03572,0.07031,0.2022,0,0,0,0,0,0,0,0,0,0.11225,0.14192,0.90975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94192,0.33589,0.5032,0,0,0,0,0,0,0,0,0
